round,iid_f1,noniid_f1
1,0.95551762225123,0.9534491315136476
2,0.95551762225123,0.9541977148534525
3,0.9552388598956243,0.9542925278219396
4,0.9549513394200863,0.9542834426555357
5,0.9551609990972013,0.9541886117460002
6,0.9551609990972013,0.9541886117460002
7,0.9550651955867603,0.9542834426555357
8,0.955169992979641,0.9541886117460002
9,0.9552747693541918,0.9541886117460002
10,0.9554842590735914,0.9541886117460002
11,0.9555889724310777,0.9541886117460002
12,0.9555889724310777,0.9542834426555357
13,0.955902986570455,0.9542834426555357
14,0.9558071951097304,0.9542834426555357
15,0.9557114228456913,0.9542834426555357
16,0.9557202965337608,0.9542834426555357
17,0.9557202965337608,0.9542834426555357
18,0.9556245617549834,0.9542834426555357
19,0.9557291666666666,0.9542834426555357
20,0.9557291666666666,0.9542834426555357
