seed,centralized_precision,centralized_recall,centralized_f1,centralized_roc_auc,centralized_pr_auc,centralized_balanced_accuracy,centralized_mcc,centralized_tn,centralized_fp,centralized_fn,centralized_tp,local_mean_precision,local_mean_recall,local_mean_f1,local_mean_roc_auc,local_mean_pr_auc,local_mean_balanced_accuracy,local_mean_mcc,local_mean_tn,local_mean_fp,local_mean_fn,local_mean_tp,fedavg_iid_precision,fedavg_iid_recall,fedavg_iid_f1,fedavg_iid_roc_auc,fedavg_iid_pr_auc,fedavg_iid_balanced_accuracy,fedavg_iid_mcc,fedavg_iid_tn,fedavg_iid_fp,fedavg_iid_fn,fedavg_iid_tp,fedavg_noniid_precision,fedavg_noniid_recall,fedavg_noniid_f1,fedavg_noniid_roc_auc,fedavg_noniid_pr_auc,fedavg_noniid_balanced_accuracy,fedavg_noniid_mcc,fedavg_noniid_tn,fedavg_noniid_fp,fedavg_noniid_fn,fedavg_noniid_tp,cross_trafficlabelling_precision,cross_trafficlabelling_recall,cross_trafficlabelling_f1,cross_trafficlabelling_roc_auc,cross_trafficlabelling_pr_auc,cross_trafficlabelling_balanced_accuracy,cross_trafficlabelling_mcc,cross_trafficlabelling_tn,cross_trafficlabelling_fp,cross_trafficlabelling_fn,cross_trafficlabelling_tp,cross_tl_counterfactual_precision,cross_tl_counterfactual_recall,cross_tl_counterfactual_f1,cross_tl_counterfactual_roc_auc,cross_tl_counterfactual_pr_auc,cross_tl_counterfactual_balanced_accuracy,cross_tl_counterfactual_mcc,cross_tl_counterfactual_tn,cross_tl_counterfactual_fp,cross_tl_counterfactual_fn,cross_tl_counterfactual_tp,cross_mlcve_precision,cross_mlcve_recall,cross_mlcve_f1,cross_mlcve_roc_auc,cross_mlcve_pr_auc,cross_mlcve_balanced_accuracy,cross_mlcve_mcc,cross_mlcve_tn,cross_mlcve_fp,cross_mlcve_fn,cross_mlcve_tp,central_cross_trafficlabelling_precision,central_cross_trafficlabelling_recall,central_cross_trafficlabelling_f1,central_cross_trafficlabelling_roc_auc,central_cross_trafficlabelling_pr_auc,central_cross_trafficlabelling_balanced_accuracy,central_cross_trafficlabelling_mcc,central_cross_trafficlabelling_tn,central_cross_trafficlabelling_fp,central_cross_trafficlabelling_fn,central_cross_trafficlabelling_tp,central_cross_tl_counterfactual_precision,central_cross_tl_counterfactual_recall,central_cross_tl_counterfactual_f1,central_cross_tl_counterfactual_roc_auc,central_cross_tl_counterfactual_pr_auc,central_cross_tl_counterfactual_balanced_accuracy,central_cross_tl_counterfactual_mcc,central_cross_tl_counterfactual_tn,central_cross_tl_counterfactual_fp,central_cross_tl_counterfactual_fn,central_cross_tl_counterfactual_tp,central_cross_mlcve_precision,central_cross_mlcve_recall,central_cross_mlcve_f1,central_cross_mlcve_roc_auc,central_cross_mlcve_pr_auc,central_cross_mlcve_balanced_accuracy,central_cross_mlcve_mcc,central_cross_mlcve_tn,central_cross_mlcve_fp,central_cross_mlcve_fn,central_cross_mlcve_tp
11,0.9233738660490253,0.9954223886808157,0.9580454590968259,0.9341354086286614,0.9813037656187642,0.8314632881427528,0.7709225150115014,797,397,22,4784,0.9276053396768716,0.995505617977528,0.960356447307459,0.9320254344269552,0.980259821329077,0.8413876498597859,0.7847595577893738,,,,,0.9296844565640826,0.9931335830212235,0.9603621730382293,0.9363611301060721,0.9819828703248041,0.8453942621973789,0.7847878717627415,833,361,33,4773,0.9185000956571647,0.9989596337910944,0.9570417621847902,0.9363569477293527,0.9816815368529386,0.8210878570965523,0.7653003765429968,768,426,5,4801,0.3895848363612514,0.7160940325497287,0.5046300229377283,0.7348852905813181,0.45532066965518986,0.6436494120362097,0.25703340371169914,12398,9307,2355,5940,0.24028125757698213,0.7168173598553346,0.35991646741926697,0.357477885488173,0.21103944017460957,0.42532874442893426,-0.17574136743846297,2905,18800,2349,5946,0.19065741050518567,0.6141721675872289,0.2909845220998883,0.33963618665801903,0.18369886282999423,0.37848618123791616,-0.260755356755657,3224,19353,2864,4559,0.3792113323124043,0.7164556962025317,0.4959319063712605,0.7541444868926434,0.4714388180131854,0.6341089814806715,0.2401712133824573,11976,9729,2352,5943,0.23829565496232163,0.7166968053044003,0.3576692837589869,0.35651583184514696,0.21067056586589497,0.4205921252967521,-0.18981569520391,2702,19003,2350,5945,0.1882202304737516,0.6139027347433652,0.2881077321868875,0.33958777061303713,0.18360783914059914,0.3716853887208432,-0.28062141903179033,2923,19654,2866,4557
23,0.9160115052732503,0.9939658759883478,0.9533978644845824,0.929350595396179,0.9794314822267958,0.8135658525670382,0.7424903597755461,756,438,29,4777,0.9257889185739382,0.9940491052850604,0.9587002230489062,0.9292865701792359,0.9793299373364638,0.8366392930110393,0.7749787614937464,,,,,0.9254513686662784,0.9918851435705368,0.9575173244953299,0.9301316542484932,0.9797839528056542,0.8351385516847659,0.7678012427770237,810,384,39,4767,0.9128039513677811,0.9997919267582189,0.9543197616683218,0.9359395813859142,0.9819346824247102,0.8076849081027275,0.7489164836555858,735,459,1,4805,0.38911940986629784,0.7122362869198312,0.5032796660703638,0.729106614684633,0.44372305919801724,0.64245769655828,0.2548854632608125,12430,9275,2387,5908,0.23710472526151258,0.7132007233273056,0.3558924381880527,0.3499955941074624,0.20893943003290058,0.4181069269711856,-0.19580266149304976,2670,19035,2379,5916,0.18990484071162597,0.6183483766671157,0.2905706960402621,0.34340904604692274,0.18461942321107191,0.3755470456662416,-0.271447252632961,2997,19580,2833,4590,0.3720666876376219,0.712959614225437,0.48896238114923524,0.7496192339634468,0.4679184309624689,0.6265558264630986,0.22682108254448094,11724,9981,2381,5914,0.23474327434330608,0.7132007233273056,0.35322566199958205,0.3486070867247112,0.2084080780095024,0.4123248491089419,-0.21396709111848677,2419,19286,2379,5916,0.1874361384722279,0.6178095109793884,0.2876136719974914,0.3432239504448354,0.18442962446752015,0.36861153672723684,-0.29237442416430576,2696,19881,2837,4586
42,0.9160115052732503,0.9939658759883478,0.9533978644845824,0.9284158341994337,0.979519256232655,0.8135658525670382,0.7424903597755461,756,438,29,4777,0.9187797294168394,0.9946733250104037,0.9552196505848956,0.9260265469391624,0.9785630326039089,0.8203684883008467,0.7537967964799279,,,,,0.921398223252221,0.9927174365376612,0.9557291666666666,0.9271987625741412,0.9790556258016573,0.8259232073810584,0.7568719249218836,787,407,35,4771,0.9134322678843226,0.9989596337910944,0.9542834426555357,0.9230960252782847,0.9777129272438524,0.8089438034952122,0.7484958300977997,739,455,5,4801,0.39021155249021816,0.7093429776974081,0.5034653888936426,0.7475605365885563,0.4685195034485678,0.6428539352896163,0.2555789365996351,12510,9195,2411,5884,0.23750756200846945,0.7099457504520795,0.3559383499546691,0.35711901561280024,0.21100265403363702,0.41945110604843094,-0.1902765393166685,2799,18906,2406,5889,0.1889416133690943,0.6168664960258655,0.2892791711415756,0.34098993841907504,0.18407625460256574,0.3731229764976739,-0.2779167076566938,2921,19656,2844,4579,0.3783000643915003,0.7082579867389994,0.4931794333683106,0.7719923201668935,0.4976308782314001,0.6317148030907621,0.23579396177368273,12050,9655,2420,5875,0.23436442533540347,0.7097046413502109,0.3523672712036871,0.3560538310367289,0.2104679974726059,0.41182076112661437,-0.21371197360791624,2473,19232,2408,5887,0.18637511197980292,0.6165970631820019,0.28623245051749474,0.3410522634856064,0.1838474036893227,0.3657906696075665,-0.3005797962653779,2596,19981,2846,4577
77,0.9260987942434851,0.9908447773616313,0.9573783675110575,0.9306704837824857,0.9778192091255579,0.8362934104563601,0.767065976321236,814,380,44,4762,0.92407560180889,0.9929671244277986,0.9572766686964517,0.9255636972489023,0.9778835913669918,0.8322457062675006,0.7663016756801834,,,,,0.9219323671497585,0.9927174365376612,0.9560164312193167,0.9321353612283919,0.9809309732536259,0.8271794887880937,0.7586264148217741,790,404,35,4771,0.9067748631817324,0.9997919267582189,0.9510143493320139,0.932505327302346,0.9808925104208045,0.7930282916873171,0.7284128972247909,700,494,1,4805,0.3830132364391383,0.7116335141651597,0.497996372379466,0.7347679574834841,0.46253603893638384,0.636765847153992,0.2447757378444884,12196,9509,2392,5903,0.2361694467778711,0.711754068716094,0.35465849702649127,0.3549917012868733,0.21036848960821314,0.416001429658669,-0.2016045060643049,2610,19095,2391,5904,0.19142588581470432,0.6310117203287081,0.29374137714787407,0.3482473895926066,0.18596054399027465,0.3773386988940347,-0.2729923454188846,2792,19785,2739,4684,0.38434997721502506,0.711754068716094,0.49915454852891444,0.7269862542540191,0.4542896828263517,0.6380240051021152,0.24700586266293592,12248,9457,2391,5904,0.23597300427299228,0.7123568414707655,0.3545116390688745,0.35589845146693444,0.21064800301369674,0.4154504778650764,-0.20361339956532334,2573,19132,2386,5909,0.1923582040548305,0.6314158695945036,0.2948818773789676,0.3491284225807302,0.1862054318784724,0.3798882953411682,-0.2654224366595343,2898,19679,2736,4687
101,0.930617813291756,0.9935497295047857,0.9610546442588306,0.9376064327742193,0.9819339743313567,0.8476961377842187,0.788883755560386,838,356,31,4775,0.932903819288704,0.993424885559717,0.9622108688458064,0.9312920546692401,0.9796526767726597,0.8529100977212319,0.7958086392264024,,,,,0.9288767975126312,0.9945900957136912,0.9606109324758842,0.9361809393757523,0.9814383615840587,0.8440287161985541,0.7862395944946396,828,366,26,4780,0.9252840362025804,0.9997919267582189,0.9610961096109611,0.9398910560570922,0.9825906751304183,0.8374169014025601,0.7896687403862276,806,388,1,4805,0.3848042468480425,0.6990958408679928,0.4963834795634496,0.7323407841933295,0.43005381676345333,0.6359796181994882,0.24327942090131421,12434,9271,2496,5799,0.2358486732496241,0.6996986136226643,0.3527838560661318,0.352814979312578,0.20953377604637516,0.4166541904786899,-0.19418702400203383,2900,18805,2491,5804,0.1912360479536999,0.6231981678566617,0.29266441021098916,0.3480467828358569,0.18559322544579573,0.37832628417637093,-0.26573185139703154,3013,19564,2797,4626,0.3866817757632316,0.6993369499698614,0.4980040348542731,0.7421254120023288,0.43686101354166884,0.6377127044251518,0.24637738299242165,12504,9201,2494,5801,0.23777714028113603,0.6994575045207957,0.35490579887448004,0.3548803167688159,0.20992485874161254,0.4212790862848162,-0.18073787259385843,3106,18599,2493,5802,0.1929158496391172,0.6229287350127981,0.2945973496432212,0.3504303093845541,0.1859307249257677,0.38304163640837896,-0.2518630763972373,3232,19345,2799,4624
