seed,mirror,setting,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,tn,fp,fn,tp
23,trafficlabelling,intersection,0.2922226356918824,0.6626883664858348,0.40559285766988856,0.4950150540447357,0.2570182074040872,0.5246406587093998,0.04557942276099492,8391,13314,2798,5497
23,tl_counterfactual,intersection,0.2922226356918824,0.6626883664858348,0.40559285766988856,0.4950150540447357,0.2570182074040872,0.5246406587093998,0.04557942276099492,8391,13314,2798,5497
23,mlcve,intersection,0.21998958875585634,0.5693115990839284,0.31735065520219274,0.4410375841274279,0.21780584608367795,0.45281365931075546,-0.08485838002436871,7593,14984,3197,4226
42,trafficlabelling,intersection,0.2963898536996106,0.6789632308619651,0.4126460783236253,0.5255445234672445,0.2797432586919843,0.5314880655576815,0.05845310051927601,8335,13370,2663,5632
42,tl_counterfactual,intersection,0.2963898536996106,0.6789632308619651,0.4126460783236253,0.5255445234672445,0.2797432586919843,0.5314880655576815,0.05845310051927601,8335,13370,2663,5632
42,mlcve,intersection,0.22428164638881698,0.5835915398087027,0.3240332111601466,0.46098542129874326,0.23088434564929955,0.45997577610535234,-0.07213418714723488,7594,14983,3091,4332
77,trafficlabelling,intersection,0.28779973649538865,0.6583484026522001,0.40051338467180053,0.4874806695457016,0.25371835249836533,0.5178634434362129,0.033143859075946254,8191,13514,2834,5461
77,tl_counterfactual,intersection,0.28779973649538865,0.6583484026522001,0.40051338467180053,0.4874806695457016,0.25371835249836533,0.5178634434362129,0.033143859075946254,8191,13514,2834,5461
77,mlcve,intersection,0.21838726245505907,0.572814226054156,0.3162161157178448,0.4410928979969106,0.21776221711083646,0.44938270765878285,-0.09152813031101292,7359,15218,3171,4252
101,trafficlabelling,intersection,0.28953371173943027,0.6579867389993972,0.4021218595741546,0.49769128453914957,0.2607301899923242,0.5204699877904151,0.037892260569749626,8312,13393,2837,5458
101,tl_counterfactual,intersection,0.28953371173943027,0.6579867389993972,0.4021218595741546,0.49769128453914957,0.2607301899923242,0.5204699877904151,0.037892260569749626,8312,13393,2837,5458
101,mlcve,intersection,0.2199332134600565,0.5767210022901792,0.31843201428146384,0.4465121475612213,0.22039497906318084,0.45208907447192664,-0.08662493643467384,7393,15184,3142,4281
