seed,mirror,feature,std_ratio,out_of_range,discrete,tv_dist,collapsed_category,degenerate,support_violation,flagged
42,tl_counterfactual,ip_proto,0.5680313862776946,0.0,True,0.15055,True,False,False,False
42,tl_counterfactual,tp_src,0.0,1.0,False,,False,True,True,True
42,tl_counterfactual,tp_dst,1.2032268810082922,0.0005,False,,False,False,False,False
42,tl_counterfactual,packet_count,19.3427549465203,3.3333333333333335e-05,False,,False,False,False,False
42,tl_counterfactual,byte_count,10.542320094305285,3.3333333333333335e-05,False,,False,False,False,False
42,tl_counterfactual,duration_sec,1.2707421172264042,6.666666666666667e-05,False,,False,False,False,False
42,tl_counterfactual,packet_count_per_sec,0.3495608352346541,0.0001,False,,False,False,False,False
42,tl_counterfactual,byte_count_per_sec,27.25479603737927,0.0010666666666666667,False,,False,False,False,False
42,tl_counterfactual,packet_size_avg,1.3996021262299314,0.0,False,,False,False,False,False
42,mlcve,ip_proto,0.5628699334536672,0.0,True,0.16011666666666663,True,False,False,False
42,mlcve,tp_src,0.0,1.0,False,,False,True,True,True
42,mlcve,tp_dst,1.2687579333188974,0.0008,False,,False,False,False,False
42,mlcve,packet_count,19.043290474429686,3.3333333333333335e-05,False,,False,False,False,False
42,mlcve,byte_count,10.344394589389895,3.3333333333333335e-05,False,,False,False,False,False
42,mlcve,duration_sec,1.3404945439288671,0.00016666666666666666,False,,False,False,False,False
42,mlcve,packet_count_per_sec,0.355747411021396,0.0003333333333333333,False,,False,False,False,False
42,mlcve,byte_count_per_sec,46.2074699620641,0.0017333333333333333,False,,False,False,False,False
42,mlcve,packet_size_avg,1.4956106564267884,0.0,False,,False,False,False,False
77,trafficlabelling,ip_proto,1.0389538183145914,0.0,True,0.3524583333333334,True,False,False,False
77,trafficlabelling,tp_src,0.9498523338791235,0.0015,False,,False,False,False,False
77,trafficlabelling,tp_dst,1.2072035822882015,0.0005333333333333334,False,,False,False,False,False
77,trafficlabelling,packet_count,0.5026175930843643,0.0,False,,False,False,False,False
77,trafficlabelling,byte_count,0.22615151217055696,0.0,False,,False,False,False,False
77,trafficlabelling,duration_sec,1.2885460614085298,3.3333333333333335e-05,False,,False,False,False,False
77,trafficlabelling,packet_count_per_sec,0.35343856819679675,0.00013333333333333334,False,,False,False,False,False
77,trafficlabelling,byte_count_per_sec,40.703379776670054,0.0033333333333333335,False,,False,False,False,False
77,trafficlabelling,packet_size_avg,1.4854932918263268,0.0,False,,False,False,False,False
