seed,mirror,feature,ks,target_abs_z_mean,source_mask_f1,mirror_mask_roc_auc,mirror_mask_mcc,mirror_auc_delta
11,trafficlabelling,ip_proto,0.35749166666666665,0.8882477405910923,0.909590078576162,0.6038456096384766,-0.1802923796685196,-0.13103968094284157
11,trafficlabelling,tp_src,0.429725,0.8055412241941313,0.9597429976909949,0.7479210671785446,0.2484855243579009,0.013035776597226434
11,trafficlabelling,tp_dst,0.35778333333333334,0.0959974762446156,0.9630002010858637,0.6705757555939076,0.26005064134403394,-0.06430953498741054
11,trafficlabelling,packet_count,0.21470833333333333,6.952463038324484e-05,0.9601769911504425,0.7343001358425677,0.25592849723320743,-0.0005851547387504263
11,trafficlabelling,byte_count,0.5635083333333334,0.010875020456344437,0.9604587986718985,0.7349662823556432,0.2572380999535413,8.099177432507876e-05
11,trafficlabelling,duration_sec,0.36346666666666666,0.18217485170710684,0.9560111464968153,0.7243286054343415,0.2176190266041075,-0.010556685146976608
11,trafficlabelling,packet_count_per_sec,0.3575416666666667,0.34659867858019167,0.9602735592879412,0.7350896306840077,0.2560921390527173,0.0002043401026895486
11,trafficlabelling,byte_count_per_sec,0.5923750000000001,1.458934691734796,0.9605157131345688,0.7355358074926278,0.21962571844162973,0.0006505169113096843
11,trafficlabelling,packet_size_avg,0.5635916666666667,0.5274702769703169,0.9513427806956694,0.7838142865613056,0.47263137970673513,0.048928995979987455
11,mlcve,ip_proto,0.10145833333333332,0.1461695846538429,0.909590078576162,0.5495839164834323,-0.30606237856930685,0.20994772982541327
11,mlcve,tp_src,1.0,0.9269708172476959,0.9597429976909949,0.33963618665801903,-0.2468693652631105,0.0
11,mlcve,tp_dst,0.35788333333333333,0.1480772286294977,0.9630002010858637,0.28210527224654164,-0.25715087788748503,-0.057530914411477396
11,mlcve,packet_count,0.255175,0.005580904317548088,0.9601769911504425,0.3388454071685856,-0.2621546285308717,-0.0007907794894334574
11,mlcve,byte_count,0.5595083333333334,0.009210307230949543,0.9604587986718985,0.339474069881323,-0.260501493268015,-0.00016211677669603075
11,mlcve,duration_sec,0.45913333333333334,0.2676424713276521,0.9560111464968153,0.3321494514400644,-0.3204013551318147,-0.007486735217954621
11,mlcve,packet_count_per_sec,0.4523166666666667,0.3549653399260403,0.9602735592879412,0.3393923819769846,-0.261519339857118,-0.00024380468103440966
11,mlcve,byte_count_per_sec,0.5878,1.6884632471396421,0.9605157131345688,0.34079983652394613,-0.33118796576733844,0.0011636498659270966
11,mlcve,packet_size_avg,0.5595166666666667,0.6638139094672707,0.9513427806956694,0.39864735570972876,0.11819168397352578,0.05901116905170972
23,trafficlabelling,ip_proto,0.34652499999999997,0.9016608862491606,0.9073741856293079,0.5879075981720475,-0.1886684369435367,-0.14119901651258548
23,trafficlabelling,tp_src,0.42659166666666665,0.8069116725812022,0.9557202965337608,0.7502064826467125,0.24432373834547938,0.02109986796207952
23,trafficlabelling,tp_dst,0.34652499999999997,0.06399148328806822,0.9610181380899889,0.6746974048834729,0.2592642012094288,-0.05440920980116015
23,trafficlabelling,packet_count,0.2166083333333333,0.23654254299953148,0.9565653525930384,0.7280584538219278,0.2525496661950154,-0.0010481608627052053
23,trafficlabelling,byte_count,0.565225,0.11639613169604754,0.9574040586698814,0.729425549650021,0.25509052158551887,0.0003189349653880402
23,trafficlabelling,duration_sec,0.36506666666666665,0.16702756940229024,0.9543016093781045,0.7202582938878899,0.21807415775631012,-0.008848320796743137
23,trafficlabelling,packet_count_per_sec,0.35808333333333336,0.33740944121343736,0.957395498392283,0.7288954650965971,0.2564704958723686,-0.00021114958803591932
23,trafficlabelling,byte_count_per_sec,0.5958416666666667,1.3947829852056548,0.9574831641370992,0.7307422797251601,0.21783780383979018,0.0016356650405271456
23,trafficlabelling,packet_size_avg,0.5652666666666667,0.4964660549600134,0.9498168860734435,0.7787299893261594,0.4740995392218243,0.04962337464152644
23,mlcve,ip_proto,0.09870833333333329,0.1547469293428645,0.9073741856293079,0.5520312568592256,-0.30698007026886504,0.20862221081230287
23,mlcve,tp_src,1.0,0.9352303847946253,0.9557202965337608,0.34340904604692274,-0.2528104722756959,0.0
23,mlcve,tp_dst,0.34692500000000004,0.13388179908929385,0.9610181380899889,0.2838077818332199,-0.26419488426494336,-0.05960126421370282
23,mlcve,packet_count,0.254075,0.04646987331728749,0.9565653525930384,0.34201505896527107,-0.2782948360942154,-0.0013939870816516708
23,mlcve,byte_count,0.557325,0.0035483190112029018,0.9574040586698814,0.3426473048472236,-0.2719697060154302,-0.0007617411996991286
23,mlcve,duration_sec,0.45766666666666667,0.2567235564281027,0.9543016093781045,0.3374772630609069,-0.3132007866434586,-0.005931782986015821
23,mlcve,packet_count_per_sec,0.44680833333333336,0.34313938928622445,0.957395498392283,0.34371798027330797,-0.2682302970862667,0.00030893422638522683
23,mlcve,byte_count_per_sec,0.5869083333333334,2.191711997512364,0.9574831641370992,0.34451784150053555,-0.34217317912914913,0.0011087954536128097
23,mlcve,packet_size_avg,0.557325,0.6216394340156487,0.9498168860734435,0.3989673288421058,0.11362631021913557,0.055558282795183045
42,trafficlabelling,ip_proto,0.3564333333333334,0.9058273388663439,0.9047574187470561,0.5968476692856248,-0.20067107228920358,-0.15071286730293143
42,trafficlabelling,tp_src,0.43206666666666665,0.814724609636848,0.9536278233060164,0.7612845322068246,0.24168282539639052,0.013723995618268314
42,trafficlabelling,tp_dst,0.35655833333333337,0.08972992470320752,0.9576364546820231,0.6806047222892201,0.2577855905008251,-0.06695581429933617
42,trafficlabelling,packet_count,0.20957499999999996,0.10746562833157662,0.9548774387193597,0.7443236538387571,0.24896047902981489,-0.0032368827497991637
42,trafficlabelling,byte_count,0.5584166666666667,0.042124000100729024,0.9557202965337608,0.7476485933427838,0.2556766459715269,8.80567542275168e-05
42,trafficlabelling,duration_sec,0.3615333333333334,0.15369919412769067,0.9523998413328044,0.739781877076848,0.21621526302539879,-0.007778659511708308
42,trafficlabelling,packet_count_per_sec,0.3568583333333333,0.34942064302389153,0.9554127334806186,0.7476917830312457,0.25874272498218037,0.00013124644268946994
42,trafficlabelling,byte_count_per_sec,0.5892999999999999,1.3454713103613394,0.9549964919314423,0.7448706676836461,0.21374540469418077,-0.0026898689049101865
42,trafficlabelling,packet_size_avg,0.5584166666666667,0.45557842321397196,0.9492631787162497,0.8100853532330268,0.47787838128804466,0.06252481664447052
42,mlcve,ip_proto,0.09841666666666671,0.14654778384915965,0.9047574187470561,0.5530452877801322,-0.3224624189809124,0.21205534936105713
42,mlcve,tp_src,1.0,0.9260077655337253,0.9536278233060164,0.34098993841907504,-0.25710608054488343,0.0
42,mlcve,tp_dst,0.35686666666666667,0.14792209566240033,0.9576364546820231,0.28465750013018454,-0.2745213510032599,-0.05633243828889051
42,mlcve,packet_count,0.24900833333333328,0.11587945063552148,0.9548774387193597,0.3369394057921593,-0.2953080304497417,-0.004050532626915737
42,mlcve,byte_count,0.5523499999999999,0.044752734719091414,0.9557202965337608,0.34081975429054084,-0.27771612042867344,-0.00017018412853420095
42,mlcve,duration_sec,0.4557666666666667,0.22348307970197415,0.9523998413328044,0.3322627106155389,-0.32458387596836347,-0.00872722780353613
42,mlcve,packet_count_per_sec,0.448025,0.3572288069650703,0.9554127334806186,0.3422757024531749,-0.2707761816531515,0.0012857640340998566
42,mlcve,byte_count_per_sec,0.5823750000000001,2.03465789116119,0.9549964919314423,0.33778516500040745,-0.3515897340041764,-0.0032047734186675947
42,mlcve,packet_size_avg,0.5523499999999999,0.5656687425730217,0.9492631787162497,0.42424256292941676,0.12395803776195913,0.08325262451034171
77,trafficlabelling,ip_proto,0.3524583333333333,0.8933246825577343,0.9046588235294117,0.5984324631383146,-0.21454998248743862,-0.13633549434516956
77,trafficlabelling,tp_src,0.4243416666666667,0.7980422553233921,0.9539138258522444,0.7467293961344507,0.2348389863386805,0.01196143865096655
77,trafficlabelling,tp_dst,0.3525833333333333,0.09618330467912226,0.9597678142514011,0.667594922823287,0.2487647823519191,-0.06717303466019708
77,trafficlabelling,packet_count,0.21381666666666665,0.0013964097615711026,0.9563997193545154,0.7350032124274775,0.24526516894390973,0.000235254943993346
77,trafficlabelling,byte_count,0.5676833333333333,0.0190558152325873,0.9563038685107236,0.7349116509544457,0.24587714958846169,0.00014369347096154783
77,trafficlabelling,duration_sec,0.36565000000000003,0.1705125319437615,0.9525131357192426,0.7226734283856396,0.21273384511322757,-0.012094529097844475
77,trafficlabelling,packet_count_per_sec,0.36044166666666666,0.34977092144442323,0.9557291666666666,0.7347867363333671,0.2446126242726494,1.8778849882994386e-05
77,trafficlabelling,byte_count_per_sec,0.5949416666666666,2.1760512876937623,0.9565914786967419,0.7275450264027241,0.20528820296180308,-0.007222931080759998
77,trafficlabelling,packet_size_avg,0.567825,0.48487504890776606,0.9464039408866995,0.7894125166505386,0.46482080252865104,0.05464455916705446
77,mlcve,ip_proto,0.09933333333333338,0.15025929489668355,0.9046588235294117,0.5650326535911164,-0.307183217003116,0.21678526399850984
77,mlcve,tp_src,1.0,0.9391188187060068,0.9539138258522444,0.3482473895926066,-0.2501948624842464,0.0
77,mlcve,tp_dst,0.3527083333333333,0.15078582051187003,0.9597678142514011,0.2867218919066626,-0.26803402484588307,-0.06152549768594401
77,mlcve,packet_count,0.25415,0.2777728945810163,0.9563997193545154,0.3485878533212944,-0.2717634369650874,0.00034046372868778985
77,mlcve,byte_count,0.5603166666666666,0.13348718404465448,0.9563038685107236,0.34708604894647344,-0.272923963198825,-0.0011613406461331577
77,mlcve,duration_sec,0.4574166666666667,0.25108642507555706,0.9525131357192426,0.3404219986397562,-0.30891583072661716,-0.007825390952850397
77,mlcve,packet_count_per_sec,0.4479666666666666,0.3593825816549598,0.9557291666666666,0.3481657434571017,-0.2736768793745593,-8.164613550487587e-05
77,mlcve,byte_count_per_sec,0.5870916666666667,2.2928464902851653,0.9565914786967419,0.34846138624397527,-0.3477199140342292,0.0002139966513686753
77,mlcve,packet_size_avg,0.560325,0.5873627942741106,0.9464039408866995,0.3836881612644061,0.11141502228883163,0.03544077167179949
101,trafficlabelling,ip_proto,0.3532166666666667,0.8989237062971376,0.9084207541820244,0.5727636693406116,-0.19001847006303085,-0.15957711485271786
101,trafficlabelling,tp_src,0.43075833333333335,0.8037573467508561,0.9582580774633754,0.7550780473384202,0.23134868076484122,0.022737263145090725
101,trafficlabelling,tp_dst,0.35329166666666667,0.08458753013200963,0.9639739086803814,0.6827556365362214,0.24829026198774143,-0.049585147657108086
101,trafficlabelling,packet_count,0.21509166666666663,0.022877617999998264,0.9578367551326991,0.727206496115719,0.22850866211688112,-0.005134288077610516
101,trafficlabelling,byte_count,0.5656916666666666,0.012951815220144889,0.9605144177634884,0.7326690585955937,0.24348512424404348,0.0003282744022642392
101,trafficlabelling,duration_sec,0.3656916666666667,0.17186803933803158,0.957266660025899,0.7261697797428641,0.2075929483492773,-0.006171004450465367
101,trafficlabelling,packet_count_per_sec,0.360875,0.34203229019112186,0.9609657947686117,0.7322005982182866,0.24819173745710413,-0.00014018597504283914
101,trafficlabelling,byte_count_per_sec,0.5959833333333334,1.876026525107497,0.9606837606837607,0.7397631704319483,0.20205431372172666,0.007422386238618794
101,trafficlabelling,packet_size_avg,0.5657,0.4798665352131506,0.953287711990479,0.7902969166111591,0.4769341973992934,0.0579561324178296
101,mlcve,ip_proto,0.0980416666666667,0.14161380003537938,0.9084207541820244,0.5519171235217362,-0.29950642595349153,0.20387034068587928
101,mlcve,tp_src,1.0,0.9246366743067173,0.9582580774633754,0.3480467828358569,-0.24764838078486642,0.0
101,mlcve,tp_dst,0.35334166666666667,0.14921475130946873,0.9639739086803814,0.2912994964928232,-0.25844171097616314,-0.056747286343033665
101,mlcve,packet_count,0.2492583333333333,0.33062409504108625,0.9578367551326991,0.3418524111276922,-0.29455453737383325,-0.00619437170816467
101,mlcve,byte_count,0.5559916666666667,0.11378934079014122,0.9605144177634884,0.347703359486968,-0.26573185139703154,-0.0003434233488888716
101,mlcve,duration_sec,0.45317499999999994,0.22730074609875076,0.957266660025899,0.34088391121876915,-0.3073638562633847,-0.007162871617087729
101,mlcve,packet_count_per_sec,0.445025,0.35176688199967476,0.9609657947686117,0.3488432369196676,-0.2586977837076078,0.0007964540838107381
101,mlcve,byte_count_per_sec,0.5860166666666667,2.505013722968617,0.9606837606837607,0.3485329899585159,-0.3412253999435226,0.00048620712265901034
101,mlcve,packet_size_avg,0.5559916666666667,0.5712600891933479,0.953287711990479,0.43442564939094386,0.12787547472572822,0.08637886655508697
